"Name","Unit price","configurable","config_parent","config_group","config_required","config_selection","config_excludes","config_requires","configurator_sync_status"
"Entry GPU","199","","333835629282","Graphics","true","single","","","1"
"Workstation GPU Pro","2499","","333835629282","Graphics","true","single","","333866273499","1"
"High-Performance Air Cooling","59","","333835629282","Cooling","true","single","","","1"
"360mm Liquid Cooling","259","","333835629282","Cooling","true","single","","","1"
"Small Form-Factor Case","99","","333835629282","Case","true","single","333829811903","","1"
"Server Rackmount Case","249","","333835629282","Case","true","single","333854025427","","1"
"750W PSU","99","","333835629282","Power Supply","true","single","","","1"
"1200W PSU","229","","333835629282","Power Supply","true","single","","","1"
"1600W PSU","329","","333835629282","Power Supply","true","single","","","1"
"Sound Card","59","","333835629282","Add-ons","false","multi","","","1"
"Capture Card","199","","333835629282","Add-ons","false","multi","","","1"
"Front USB-C Hub","29","","333835629282","Add-ons","false","multi","","","1"
"Dust Filter Kit","19","","333835629282","Add-ons","false","multi","","","1"
"6-Core CPU","249","","333835629282","Processor","true","single","","","1"
"8-Core CPU","399","","333835629282","Processor","true","single","","","1"
"12-Core CPU","649","","333835629282","Processor","true","single","","","1"
"16-Core CPU","999","","333835629282","Processor","true","single","","","1"
"16GB RAM","79","","333835629282","Memory","true","single","","","1"
"32GB RAM","149","","333835629282","Memory","true","single","","","1"
"64GB RAM","299","","333835629282","Memory","true","single","","","1"
"128GB RAM","599","","333835629282","Memory","true","single","","","1"
"512GB SSD","59","","333835629282","Storage","true","single","","","1"
"1TB SSD","99","","333835629282","Storage","true","single","","","1"
"2TB SSD","179","","333835629282","Storage","true","single","","","1"
"4TB NVMe SSD","399","","333835629282","Storage","true","single","","","1"
"No OS","0","","333835629282","Operating System","true","single","","","1"
"Windows 11 Pro","199","","333835629282","Operating System","true","single","","","1"
"Ubuntu Linux","0","","333835629282","Operating System","true","single","","","1"
"1-Year Warranty","0","","333835629282","Warranty","false","single","","","1"
"3-Year Warranty","149","","333835629282","Warranty","false","single","","","1"
"5-Year Warranty","299","","333835629282","Warranty","false","single","","","1"
