"Record ID","Name","Unit price"
"333866273499","1000W PSU","169"
"333890636508","500W PSU","69"
"333846848205","850W PSU","119"
"333904133849","Air Cooling","0"
"333504771780","Compact Case","89"
"333835629282","Custom Workstation PC","799"
"333719164650","Extra Storage Bay","149"
"333547482839","Full-Tower Case","189"
"333829811903","High-end GPU","1599"
"333644551888","Integrated Graphics","0"
"333861202640","Liquid Cooling","179"
"333827992266","Mid-range GPU","499"
"333754176234","Mid-Tower Case","119"
"333854025427","RGB Lighting Kit","49"
"333800989371","Wi-Fi Card","39"
