"Record ID","Name","Configuration Group","Configuration Excludes","Configuration Requires","Configuration Requires One Of","Configuration Sync Status"
"334030930661","Workstation GPU Pro","Graphics","","334050418409","334050418409, 334021180143","Sync"
"333901495994","3-Year Warranty","Warranty","","","","Sync"
"333564588768","750W PSU","Power Supply","","","","Sync"
"334030930660","16GB RAM","Memory","","","","Sync"
"334021180144","16-Core CPU","Processor","","333549499121","","Sync"
"334054013687","4TB NVMe SSD","Storage","","","","Sync"
"334021180143","1600W PSU","Power Supply","","","","Sync"
"334015788785","512GB SSD","Storage","","","","Sync"
"334015788786","High-Performance Air Cooling","Cooling","","","","Sync"
"333518454506","128GB RAM","Memory","","","","Sync"
"333996004084","32GB RAM","Memory","","","","Sync"
"333754330849","1TB SSD","Storage","","","","Sync"
"333585897184","Entry GPU","Graphics","","","","Sync"
"333518454505","64GB RAM","Memory","","","","Sync"
"333958640370","Ubuntu Linux","Operating System","","","","Sync"
"333868225245","Capture Card","Add-ons","","","","Sync"
"334008604403","Dust Filter Kit","Add-ons","","","","Sync"
"333866507976","No OS","Operating System","","","","Sync"
"333859653341","1-Year Warranty","Warranty","","","","Sync"
"333549499121","360mm Liquid Cooling","Cooling","","","","Sync"
"333549499119","2TB SSD","Storage","","","","Sync"
"333549499120","6-Core CPU","Processor","","","","Sync"
"334050418409","1200W PSU","Power Supply","","","","Sync"
"333859653340","Sound Card","Add-ons","","","","Sync"
"333974871739","8-Core CPU","Processor","","","","Sync"
"333974871740","5-Year Warranty","Warranty","","","","Sync"
"333846848205","850W PSU","Power Supply","","","","Sync"
"333827992266","Mid-range GPU","Graphics","","","","Sync"
"333754176234","Mid-Tower Case","Chassis","","","","Sync"
"333504771780","Compact Case","Chassis","334030930661, 333549499121","","","Sync"
"333904133849","Air Cooling","Cooling","","","","Sync"
"333890636508","500W PSU","Power Supply","","","","Sync"
"333861202640","Liquid Cooling","Cooling","333504771780","","","Sync"
"333835629282","Custom Workstation PC","","","","","Sync"
"333719164650","Extra Storage Bay","Add-ons","","","","Sync"
"333644551888","Integrated Graphics","Graphics","","","","Sync"
"333854025427","RGB Lighting Kit","Add-ons","","","","Sync"
"333800989371","Wi-Fi Card","Add-ons","","","","Sync"
"333866273499","1000W PSU","Power Supply","","","","Sync"
"333829811903","High-end GPU","Graphics","333504771780","333866273499","333866273499, 334050418409, 334021180143","Sync"
"333547482839","Full-Tower Case","Chassis","","","","Sync"
"333901495032","Small Form-Factor Case","Chassis","333829811903, 334030930661, 333549499121","","","Sync"
"334032727772","Server Rackmount Case","Chassis","333854025427, 333549499121","","","Sync"
"333916806865","Front USB-C Hub","Add-ons","","","","Sync"
"333901495033","12-Core CPU","Processor","","333861202640","","Sync"
"333901495031","Windows 11 Pro","Operating System","","","","Sync"
